name,year
The Shawshank Redemption,1994
The Godfather,1972
The Godfather: Part II,1974
The Dark Knight,2008
12 Angry Men,1957
Schindler's List,1993
Pulp Fiction,1994
The Lord of the Rings: The Return of the King,2003
"The Good, the Bad and the Ugly",1966
Fight Club,1999
The Lord of the Rings: The Fellowship of the Ring,2001
Star Wars: Episode V - The Empire Strikes Back,1980
Forrest Gump,1994
Inception,2010
The Lord of the Rings: The Two Towers,2002
One Flew Over the Cuckoo's Nest,1975
Goodfellas,1990
The Matrix,1999
Seven Samurai,1954
Star Wars: Episode IV - A New Hope,1977
City of God,2002
Se7en,1995
The Silence of the Lambs,1991
It's a Wonderful Life,1946
The Usual Suspects,1995
Life Is Beautiful,1997
Léon: The Professional,1994
Spirited Away,2001
Saving Private Ryan,1998
Once Upon a Time in the West,1968
American History X,1998
Interstellar,2014
Casablanca,1942
Psycho,1960
City Lights,1931
Raiders of the Lost Ark,1981
The Green Mile,1999
The Intouchables,2011
Modern Times,1936
Rear Window,1954
Terminator 2: Judgment Day,1991
The Departed,2006
The Pianist,2002
Back to the Future,1985
Whiplash,2014
Gladiator,2000
Memento,2000
Apocalypse Now,1979
The Prestige,2006
The Lion King,1994
Alien,1979
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Sunset Blvd.,1950
The Great Dictator,1940
The Lives of Others,2006
Cinema Paradiso,1988
Paths of Glory,1957
Django Unchained,2012
The Shining,1980
Grave of the Fireflies,1988
WALL·E,2008
The Dark Knight Rises,2012
American Beauty,1999
Princess Mononoke,1997
Aliens,1986
Oldeuboi,2003
Once Upon a Time in America,1984
Citizen Kane,1941
Das Boot,1981
Witness for the Prosecution,1957
North by Northwest,1959
Vertigo,1958
Star Wars: Episode VI - Return of the Jedi,1983
M,1931
Reservoir Dogs,1992
Braveheart,1995
Amélie,2001
Requiem for a Dream,2000
Taare Zameen Par,2007
Babam ve Oglum,2005
A Clockwork Orange,1971
Taxi Driver,1976
Lawrence of Arabia,1962
Double Indemnity,1944
To Kill a Mockingbird,1962
Toy Story 3,2010
Eternal Sunshine of the Spotless Mind,2004
Amadeus,1984
Full Metal Jacket,1987
The Sting,1973
Andaz Apna Apna,1994
2001: A Space Odyssey,1968
Bicycle Thieves,1948
Toy Story,1995
Snatch,2000
Singin' in the Rain,1952
Inglourious Basterds,2009
The Kid,1921
Monty Python and the Holy Grail,1975
L.A. Confidential,1997
For a Few Dollars More,1965
3 Idiots,2009
Rashômon,1950
Scarface,1983
The Apartment,1960
Indiana Jones and the Last Crusade,1989
Jodaeiye Nader az Simin,2011
Metropolis,1927
Jagten,2012
Good Will Hunting,1997
All About Eve,1950
Yojimbo,1961
Batman Begins,2005
The Treasure of the Sierra Madre,1948
Some Like It Hot,1959
Up,2009
Unforgiven,1992
Hera Pheri,2000
The Third Man,1949
Downfall,2004
Raging Bull,1980
Die Hard,1988
Children of Heaven,1997
The Great Escape,1963
Heat,1995
Chinatown,1974
Inside Out,2015
The Bandit,1996
Pan's Labyrinth,2006
On the Waterfront,1954
Ikiru,1952
My Neighbor Totoro,1988
Room,2015
Ran,1985
The Gold Rush,1925
The Bridge on the River Kwai,1957
Mr. Smith Goes to Washington,1939
The Secret in Their Eyes,2009
Blade Runner,1982
The Seventh Seal,1957
"Lock, Stock and Two Smoking Barrels",1998
Howl's Moving Castle,2004
Casino,1995
Judgment at Nuremberg,1961
Wild Strawberries,1957
The Passion of Joan of Arc,1928
The General,1926
The Elephant Man,1980
A Beautiful Mind,2001
Sunrise,1927
Warrior,2011
The Wolf of Wall Street,2013
V for Vendetta,2005
Incendies,2010
Gran Torino,2008
The Big Lebowski,1998
Tokyo Story,1953
The Deer Hunter,1978
Trainspotting,1996
Dial M for Murder,1954
Gone with the Wind,1939
Fargo,1996
Rebecca,1940
Finding Nemo,2003
Cool Hand Luke,1967
The Sixth Sense,1999
How to Train Your Dragon,2010
The Thing,1982
Star Wars: The Force Awakens,2015
No Country for Old Men,2007
Into the Wild,2007
Kill Bill: Vol. 1,2003
Mary and Max,2009
Gone Girl,2014
Come and See,1985
There Will Be Blood,2007
It Happened One Night,1934
Life of Brian,1979
Rush,2013
The Message,1976
Hotel Rwanda,2004
Platoon,1986
The Nights of Cabiria,1957
Network,1976
The Wages of Fear,1953
Shutter Island,2010
Spotlight,2015
The Maltese Falcon,1941
Butch Cassidy and the Sundance Kid,1969
Stand by Me,1986
In the Name of the Father,1993
Mad Max: Fury Road,2015
The 400 Blows,1959
Relatos salvajes,2014
12 Years a Slave,2013
Persona,1966
Ben-Hur,1959
The Grand Budapest Hotel,2014
Amores Perros,2000
Million Dollar Baby,2004
The Princess Bride,1987
Jurassic Park,1993
Hachi: A Dog's Tale,2009
Nausicaä of the Valley of the Wind,1984
Touch of Evil,1958
Stalker,1979
The Grapes of Wrath,1940
Memories of Murder,2003
The Truman Show,1998
Annie Hall,1977
Zootopia,2016
Before Sunrise,1995
Gandhi,1982
The Bourne Ultimatum,2007
Diabolique,1955
Rocky,1976
Donnie Darko,2001
Harry Potter and the Deathly Hallows: Part 2,2011
8½,1963
"Monsters, Inc.",2001
The Wizard of Oz,1939
The Terminator,1984
Groundhog Day,1993
Twelve Monkeys,1995
Prisoners,2013
Jaws,1975
Infernal Affairs,2002
The Best Years of Our Lives,1946
La Haine,1995
Barry Lyndon,1975
Catch Me If You Can,2002
Strangers on a Train,1951
Sin City,2005
The Battle of Algiers,1966
Dog Day Afternoon,1975
Kind Hearts and Coronets,1949
Gangs of Wasseypur,2012
Pirates of the Caribbean: The Curse of the Black Pearl,2003
Song of the Sea,2014
The Help,2011
The Imitation Game,2014
The Revenant,2015
Yip Man,2008
The Martian,2015
Deadpool,2016
Castle in the Sky,1986
A Fistful of Dollars,1964
Roman Holiday,1953
Guardians of the Galaxy,2014
Fanny and Alexander,1982
